"Town/County","FIPS","Year","Unit Type","Measure Type","Variable","Value"
"Ansonia","0900901220","2012-2016","Total","Number","Housing Units",7486
"Ansonia","0900901220","2012-2016","Total","Number","Margins of Error",360
"Ansonia","0900901220","2012-2016","Detached","Number","Housing Units",3301
"Ansonia","0900901220","2012-2016","Detached","Number","Margins of Error",315
"Ansonia","0900901220","2012-2016","Detached","Percent","Housing Units",44.1
"Ansonia","0900901220","2012-2016","Detached","Percent","Margins of Error",3.7
"Ashford","0901501430","2006-2010","Total","Number","Housing Units",1869
"Ashford","0901501430","2006-2010","Total","Number","Margins of Error",120
"Ashford","0901501430","2006-2010","Detached","Number","Housing Units",1581
"Ashford","0901501430","2006-2010","Detached","Number","Margins of Error",160
"Ashford","0901501430","2006-2010","Detached","Percent","Housing Units",84.6
"Ashford","0901501430","2006-2010","Detached","Percent","Margins of Error",5
"Ashford","0901501430","2007-2011","Total","Number","Housing Units",1891
"Ashford","0901501430","2007-2011","Total","Number","Margins of Error",159
"Ashford","0901501430","2007-2011","Detached","Number","Housing Units",1581
"Ashford","0901501430","2007-2011","Detached","Number","Margins of Error",148
"Ashford","0901501430","2007-2011","Detached","Percent","Housing Units",83.6
"Ashford","0901501430","2007-2011","Detached","Percent","Margins of Error",4.7
"Ashford","0901501430","2008-2012","Total","Number","Housing Units",1869
"Ashford","0901501430","2008-2012","Total","Number","Margins of Error",125
"Ashford","0901501430","2008-2012","Detached","Number","Housing Units",1567
"Ashford","0901501430","2008-2012","Detached","Number","Margins of Error",130
"Ashford","0901501430","2008-2012","Detached","Percent","Housing Units",83.8
"Ashford","0901501430","2008-2012","Detached","Percent","Margins of Error",3.8
"Ashford","0901501430","2009-2013","Total","Number","Housing Units",1839
"Ashford","0901501430","2009-2013","Total","Number","Margins of Error",110
"Ashford","0901501430","2009-2013","Detached","Number","Housing Units",1537
"Ashford","0901501430","2009-2013","Detached","Number","Margins of Error",118
"Ashford","0901501430","2009-2013","Detached","Percent","Housing Units",83.6
"Ashford","0901501430","2009-2013","Detached","Percent","Margins of Error",3.7
"Ashford","0901501430","2010-2014","Total","Number","Housing Units",1883
"Ashford","0901501430","2010-2014","Total","Number","Margins of Error",109
"Ashford","0901501430","2010-2014","Detached","Number","Housing Units",1554
"Ashford","0901501430","2010-2014","Detached","Number","Margins of Error",125
"Ashford","0901501430","2010-2014","Detached","Percent","Housing Units",82.5
"Ashford","0901501430","2010-2014","Detached","Percent","Margins of Error",4.1
"Ashford","0901501430","2011-2015","Total","Number","Housing Units",1898
"Ashford","0901501430","2011-2015","Total","Number","Margins of Error",114
"Ashford","0901501430","2011-2015","Detached","Number","Housing Units",1595
"Ashford","0901501430","2011-2015","Detached","Number","Margins of Error",126
"Ashford","0901501430","2011-2015","Detached","Percent","Housing Units",84
"Ashford","0901501430","2011-2015","Detached","Percent","Margins of Error",3.6
"Ashford","0901501430","2012-2016","Total","Number","Housing Units",1859
"Ashford","0901501430","2012-2016","Total","Number","Margins of Error",115
"Ashford","0901501430","2012-2016","Detached","Number","Housing Units",1561
"Ashford","0901501430","2012-2016","Detached","Number","Margins of Error",125
"Ashford","0901501430","2012-2016","Detached","Percent","Housing Units",84
"Ashford","0901501430","2012-2016","Detached","Percent","Margins of Error",3.6
"Avon","0900302060","2006-2010","Total","Number","Housing Units",7056
"Avon","0900302060","2006-2010","Total","Number","Margins of Error",163
"Avon","0900302060","2006-2010","Detached","Number","Housing Units",4999
"Avon","0900302060","2006-2010","Detached","Number","Margins of Error",180
"Avon","0900302060","2006-2010","Detached","Percent","Housing Units",70.8
"Avon","0900302060","2006-2010","Detached","Percent","Margins of Error",2.2
"Avon","0900302060","2007-2011","Total","Number","Housing Units",7170
"Avon","0900302060","2007-2011","Total","Number","Margins of Error",180
"Avon","0900302060","2007-2011","Detached","Number","Housing Units",5021
"Avon","0900302060","2007-2011","Detached","Number","Margins of Error",203
"Avon","0900302060","2007-2011","Detached","Percent","Housing Units",70
"Avon","0900302060","2007-2011","Detached","Percent","Margins of Error",2.5
"Avon","0900302060","2008-2012","Total","Number","Housing Units",7295
"Avon","0900302060","2008-2012","Total","Number","Margins of Error",190
"Avon","0900302060","2008-2012","Detached","Number","Housing Units",5141
"Avon","0900302060","2008-2012","Detached","Number","Margins of Error",166
"Avon","0900302060","2008-2012","Detached","Percent","Housing Units",70.5
"Avon","0900302060","2008-2012","Detached","Percent","Margins of Error",2.1
"Avon","0900302060","2009-2013","Total","Number","Housing Units",7454
"Avon","0900302060","2009-2013","Total","Number","Margins of Error",203
"Avon","0900302060","2009-2013","Detached","Number","Housing Units",5116
"Avon","0900302060","2009-2013","Detached","Number","Margins of Error",193
"Avon","0900302060","2009-2013","Detached","Percent","Housing Units",68.6
"Avon","0900302060","2009-2013","Detached","Percent","Margins of Error",2.3
"Avon","0900302060","2010-2014","Total","Number","Housing Units",7436
"Avon","0900302060","2010-2014","Total","Number","Margins of Error",208
"Avon","0900302060","2010-2014","Detached","Number","Housing Units",5280
"Avon","0900302060","2010-2014","Detached","Number","Margins of Error",245
"Avon","0900302060","2010-2014","Detached","Percent","Housing Units",71
"Avon","0900302060","2010-2014","Detached","Percent","Margins of Error",2.6
"Avon","0900302060","2011-2015","Total","Number","Housing Units",7342
"Avon","0900302060","2011-2015","Total","Number","Margins of Error",240
"Avon","0900302060","2011-2015","Detached","Number","Housing Units",5201
"Avon","0900302060","2011-2015","Detached","Number","Margins of Error",274
"Avon","0900302060","2011-2015","Detached","Percent","Housing Units",70.8
"Avon","0900302060","2011-2015","Detached","Percent","Margins of Error",2.7
"Avon","0900302060","2012-2016","Total","Number","Housing Units",7415
"Avon","0900302060","2012-2016","Total","Number","Margins of Error",202
"Avon","0900302060","2012-2016","Detached","Number","Housing Units",5423
"Avon","0900302060","2012-2016","Detached","Number","Margins of Error",250
"Avon","0900302060","2012-2016","Detached","Percent","Housing Units",73.1
"Avon","0900302060","2012-2016","Detached","Percent","Margins of Error",2.4
"Barkhamsted","0900502760","2006-2010","Total","Number","Housing Units",1577
"Barkhamsted","0900502760","2006-2010","Total","Number","Margins of Error",115
"Barkhamsted","0900502760","2006-2010","Detached","Number","Housing Units",1439
"Barkhamsted","0900502760","2006-2010","Detached","Number","Margins of Error",110
"Barkhamsted","0900502760","2006-2010","Detached","Percent","Housing Units",91.2
"Barkhamsted","0900502760","2006-2010","Detached","Percent","Margins of Error",4
"Barkhamsted","0900502760","2007-2011","Total","Number","Housing Units",1572
"Barkhamsted","0900502760","2007-2011","Total","Number","Margins of Error",125
"Barkhamsted","0900502760","2007-2011","Detached","Number","Housing Units",1429
"Barkhamsted","0900502760","2007-2011","Detached","Number","Margins of Error",128
"Barkhamsted","0900502760","2007-2011","Detached","Percent","Housing Units",90.9
"Barkhamsted","0900502760","2007-2011","Detached","Percent","Margins of Error",4.3
"Barkhamsted","0900502760","2008-2012","Total","Number","Housing Units",1558
"Barkhamsted","0900502760","2008-2012","Total","Number","Margins of Error",144
"Barkhamsted","0900502760","2008-2012","Detached","Number","Housing Units",1453
"Barkhamsted","0900502760","2008-2012","Detached","Number","Margins of Error",138
"Barkhamsted","0900502760","2008-2012","Detached","Percent","Housing Units",93.3
"Barkhamsted","0900502760","2008-2012","Detached","Percent","Margins of Error",3.8
"Barkhamsted","0900502760","2009-2013","Total","Number","Housing Units",1537
"Barkhamsted","0900502760","2009-2013","Total","Number","Margins of Error",141
"Barkhamsted","0900502760","2009-2013","Detached","Number","Housing Units",1424
"Barkhamsted","0900502760","2009-2013","Detached","Number","Margins of Error",142
"Barkhamsted","0900502760","2009-2013","Detached","Percent","Housing Units",92.6
"Barkhamsted","0900502760","2009-2013","Detached","Percent","Margins of Error",3.8
"Barkhamsted","0900502760","2010-2014","Total","Number","Housing Units",1561
"Barkhamsted","0900502760","2010-2014","Total","Number","Margins of Error",130
"Barkhamsted","0900502760","2010-2014","Detached","Number","Housing Units",1412
"Barkhamsted","0900502760","2010-2014","Detached","Number","Margins of Error",134
"Barkhamsted","0900502760","2010-2014","Detached","Percent","Housing Units",90.5
"Barkhamsted","0900502760","2010-2014","Detached","Percent","Margins of Error",4
"Barkhamsted","0900502760","2011-2015","Total","Number","Housing Units",1500
"Barkhamsted","0900502760","2011-2015","Total","Number","Margins of Error",103
"Barkhamsted","0900502760","2011-2015","Detached","Number","Housing Units",1404
"Barkhamsted","0900502760","2011-2015","Detached","Number","Margins of Error",100
"Barkhamsted","0900502760","2011-2015","Detached","Percent","Housing Units",93.6
"Barkhamsted","0900502760","2011-2015","Detached","Percent","Margins of Error",3.3
"Barkhamsted","0900502760","2012-2016","Total","Number","Housing Units",1505
"Barkhamsted","0900502760","2012-2016","Total","Number","Margins of Error",103
"Barkhamsted","0900502760","2012-2016","Detached","Number","Housing Units",1430
"Barkhamsted","0900502760","2012-2016","Detached","Number","Margins of Error",107
"Barkhamsted","0900502760","2012-2016","Detached","Percent","Housing Units",95
"Barkhamsted","0900502760","2012-2016","Detached","Percent","Margins of Error",2.7
"Beacon Falls","0900903250","2006-2010","Total","Number","Housing Units",2447
"Beacon Falls","0900903250","2006-2010","Total","Number","Margins of Error",126
"Beacon Falls","0900903250","2006-2010","Detached","Number","Housing Units",1602
"Beacon Falls","0900903250","2006-2010","Detached","Number","Margins of Error",119
"Beacon Falls","0900903250","2006-2010","Detached","Percent","Housing Units",65.5
"Beacon Falls","0900903250","2006-2010","Detached","Percent","Margins of Error",5.7
"Beacon Falls","0900903250","2007-2011","Total","Number","Housing Units",2395
"Beacon Falls","0900903250","2007-2011","Total","Number","Margins of Error",140
"Beacon Falls","0900903250","2007-2011","Detached","Number","Housing Units",1559
"Beacon Falls","0900903250","2007-2011","Detached","Number","Margins of Error",125
"Beacon Falls","0900903250","2007-2011","Detached","Percent","Housing Units",65.1
"Beacon Falls","0900903250","2007-2011","Detached","Percent","Margins of Error",5.1
"Beacon Falls","0900903250","2008-2012","Total","Number","Housing Units",2388
"Beacon Falls","0900903250","2008-2012","Total","Number","Margins of Error",147
"Beacon Falls","0900903250","2008-2012","Detached","Number","Housing Units",1513
"Beacon Falls","0900903250","2008-2012","Detached","Number","Margins of Error",99
"Beacon Falls","0900903250","2008-2012","Detached","Percent","Housing Units",63.4
"Beacon Falls","0900903250","2008-2012","Detached","Percent","Margins of Error",4.6
"Beacon Falls","0900903250","2009-2013","Total","Number","Housing Units",2479
"Beacon Falls","0900903250","2009-2013","Total","Number","Margins of Error",167
"Beacon Falls","0900903250","2009-2013","Detached","Number","Housing Units",1570
"Beacon Falls","0900903250","2009-2013","Detached","Number","Margins of Error",149
"Beacon Falls","0900903250","2009-2013","Detached","Percent","Housing Units",63.3
"Beacon Falls","0900903250","2009-2013","Detached","Percent","Margins of Error",5.4
"Beacon Falls","0900903250","2010-2014","Total","Number","Housing Units",2579
"Beacon Falls","0900903250","2010-2014","Total","Number","Margins of Error",156
"Beacon Falls","0900903250","2010-2014","Detached","Number","Housing Units",1632
"Beacon Falls","0900903250","2010-2014","Detached","Number","Margins of Error",138
"Beacon Falls","0900903250","2010-2014","Detached","Percent","Housing Units",63.3
"Beacon Falls","0900903250","2010-2014","Detached","Percent","Margins of Error",5.2
"Beacon Falls","0900903250","2011-2015","Total","Number","Housing Units",2623
"Beacon Falls","0900903250","2011-2015","Total","Number","Margins of Error",167
"Beacon Falls","0900903250","2011-2015","Detached","Number","Housing Units",1537
"Beacon Falls","0900903250","2011-2015","Detached","Number","Margins of Error",175
"Beacon Falls","0900903250","2011-2015","Detached","Percent","Housing Units",58.6
"Beacon Falls","0900903250","2011-2015","Detached","Percent","Margins of Error",5.8
"Beacon Falls","0900903250","2012-2016","Total","Number","Housing Units",2678
"Beacon Falls","0900903250","2012-2016","Total","Number","Margins of Error",142
"Beacon Falls","0900903250","2012-2016","Detached","Number","Housing Units",1613
"Beacon Falls","0900903250","2012-2016","Detached","Number","Margins of Error",180
"Beacon Falls","0900903250","2012-2016","Detached","Percent","Housing Units",60.2
"Beacon Falls","0900903250","2012-2016","Detached","Percent","Margins of Error",6.6
"Berlin","0900304300","2006-2010","Total","Number","Housing Units",7676
"Berlin","0900304300","2006-2010","Total","Number","Margins of Error",247
"Berlin","0900304300","2006-2010","Detached","Number","Housing Units",6344
"Berlin","0900304300","2006-2010","Detached","Number","Margins of Error",251
"Berlin","0900304300","2006-2010","Detached","Percent","Housing Units",82.6
"Berlin","0900304300","2006-2010","Detached","Percent","Margins of Error",2.2
"Berlin","0900304300","2007-2011","Total","Number","Housing Units",7734
"Berlin","0900304300","2007-2011","Total","Number","Margins of Error",209
"Berlin","0900304300","2007-2011","Detached","Number","Housing Units",6297
"Berlin","0900304300","2007-2011","Detached","Number","Margins of Error",232
"Berlin","0900304300","2007-2011","Detached","Percent","Housing Units",81.4
"Berlin","0900304300","2007-2011","Detached","Percent","Margins of Error",2.5
"Berlin","0900304300","2008-2012","Total","Number","Housing Units",7953
"Berlin","0900304300","2008-2012","Total","Number","Margins of Error",242
"Berlin","0900304300","2008-2012","Detached","Number","Housing Units",6322
"Berlin","0900304300","2008-2012","Detached","Number","Margins of Error",273
"Berlin","0900304300","2008-2012","Detached","Percent","Housing Units",79.5
"Berlin","0900304300","2008-2012","Detached","Percent","Margins of Error",2.6
"Berlin","0900304300","2009-2013","Total","Number","Housing Units",7961
"Berlin","0900304300","2009-2013","Total","Number","Margins of Error",247
"Berlin","0900304300","2009-2013","Detached","Number","Housing Units",6222
"Berlin","0900304300","2009-2013","Detached","Number","Margins of Error",267
"Berlin","0900304300","2009-2013","Detached","Percent","Housing Units",78.2
"Berlin","0900304300","2009-2013","Detached","Percent","Margins of Error",2.2
"Berlin","0900304300","2010-2014","Total","Number","Housing Units",8218
"Berlin","0900304300","2010-2014","Total","Number","Margins of Error",248
"Berlin","0900304300","2010-2014","Detached","Number","Housing Units",6271
"Berlin","0900304300","2010-2014","Detached","Number","Margins of Error",301
"Berlin","0900304300","2010-2014","Detached","Percent","Housing Units",76.3
"Berlin","0900304300","2010-2014","Detached","Percent","Margins of Error",2.7
"Berlin","0900304300","2011-2015","Total","Number","Housing Units",8333
"Berlin","0900304300","2011-2015","Total","Number","Margins of Error",258
"Berlin","0900304300","2011-2015","Detached","Number","Housing Units",6309
"Berlin","0900304300","2011-2015","Detached","Number","Margins of Error",367
"Berlin","0900304300","2011-2015","Detached","Percent","Housing Units",75.7
"Berlin","0900304300","2011-2015","Detached","Percent","Margins of Error",3.1
"Berlin","0900304300","2012-2016","Total","Number","Housing Units",8427
"Berlin","0900304300","2012-2016","Total","Number","Margins of Error",268
"Berlin","0900304300","2012-2016","Detached","Number","Housing Units",6420
"Berlin","0900304300","2012-2016","Detached","Number","Margins of Error",280
"Berlin","0900304300","2012-2016","Detached","Percent","Housing Units",76.2
"Berlin","0900304300","2012-2016","Detached","Percent","Margins of Error",2.9
"Bethany","0900904580","2006-2010","Total","Number","Housing Units",1982
"Bethany","0900904580","2006-2010","Total","Number","Margins of Error",73
"Bethany","0900904580","2006-2010","Detached","Number","Housing Units",1890
"Bethany","0900904580","2006-2010","Detached","Number","Margins of Error",77
"Bethany","0900904580","2006-2010","Detached","Percent","Housing Units",95.4
"Bethany","0900904580","2006-2010","Detached","Percent","Margins of Error",2.3
"Bethany","0900904580","2007-2011","Total","Number","Housing Units",1991
"Bethany","0900904580","2007-2011","Total","Number","Margins of Error",89
"Bethany","0900904580","2007-2011","Detached","Number","Housing Units",1863
"Bethany","0900904580","2007-2011","Detached","Number","Margins of Error",82
"Bethany","0900904580","2007-2011","Detached","Percent","Housing Units",93.6
"Bethany","0900904580","2007-2011","Detached","Percent","Margins of Error",3
"Bethany","0900904580","2008-2012","Total","Number","Housing Units",1987
"Bethany","0900904580","2008-2012","Total","Number","Margins of Error",79
"Bethany","0900904580","2008-2012","Detached","Number","Housing Units",1913
"Bethany","0900904580","2008-2012","Detached","Number","Margins of Error",74
"Bethany","0900904580","2008-2012","Detached","Percent","Housing Units",96.3
"Bethany","0900904580","2008-2012","Detached","Percent","Margins of Error",1.7
"Bethany","0900904580","2009-2013","Total","Number","Housing Units",2031
"Bethany","0900904580","2009-2013","Total","Number","Margins of Error",95
"Bethany","0900904580","2009-2013","Detached","Number","Housing Units",1929
"Bethany","0900904580","2009-2013","Detached","Number","Margins of Error",90
"Bethany","0900904580","2009-2013","Detached","Percent","Housing Units",95
"Bethany","0900904580","2009-2013","Detached","Percent","Margins of Error",2.8
"Bethany","0900904580","2010-2014","Total","Number","Housing Units",2105
"Bethany","0900904580","2010-2014","Total","Number","Margins of Error",115
"Bethany","0900904580","2010-2014","Detached","Number","Housing Units",1960
"Bethany","0900904580","2010-2014","Detached","Number","Margins of Error",102
"Bethany","0900904580","2010-2014","Detached","Percent","Housing Units",93.1
"Bethany","0900904580","2010-2014","Detached","Percent","Margins of Error",2.8
"Bethany","0900904580","2011-2015","Total","Number","Housing Units",2060
"Bethany","0900904580","2011-2015","Total","Number","Margins of Error",114
"Bethany","0900904580","2011-2015","Detached","Number","Housing Units",1927
"Bethany","0900904580","2011-2015","Detached","Number","Margins of Error",119
"Bethany","0900904580","2011-2015","Detached","Percent","Housing Units",93.5
"Bethany","0900904580","2011-2015","Detached","Percent","Margins of Error",2.9
"Bethany","0900904580","2012-2016","Total","Number","Housing Units",2017
"Bethany","0900904580","2012-2016","Total","Number","Margins of Error",113
"Bethany","0900904580","2012-2016","Detached","Number","Housing Units",1914
"Bethany","0900904580","2012-2016","Detached","Number","Margins of Error",106
"Bethany","0900904580","2012-2016","Detached","Percent","Housing Units",94.9
"Bethany","0900904580","2012-2016","Detached","Percent","Margins of Error",2.6
"Bethel","0900104720","2006-2010","Total","Number","Housing Units",6818
"Bethel","0900104720","2006-2010","Total","Number","Margins of Error",405
"Bethel","0900104720","2006-2010","Detached","Number","Housing Units",4647
"Bethel","0900104720","2006-2010","Detached","Number","Margins of Error",327
"Bethel","0900104720","2006-2010","Detached","Percent","Housing Units",68.2
"Bethel","0900104720","2006-2010","Detached","Percent","Margins of Error",2.6
"Bethel","0900104720","2007-2011","Total","Number","Housing Units",6991
"Bethel","0900104720","2007-2011","Total","Number","Margins of Error",227
"Bethel","0900104720","2007-2011","Detached","Number","Housing Units",4852
"Bethel","0900104720","2007-2011","Detached","Number","Margins of Error",208
"Bethel","0900104720","2007-2011","Detached","Percent","Housing Units",69.4
"Bethel","0900104720","2007-2011","Detached","Percent","Margins of Error",2.4
"Bethel","0900104720","2008-2012","Total","Number","Housing Units",7092
"Bethel","0900104720","2008-2012","Total","Number","Margins of Error",208
"Bethel","0900104720","2008-2012","Detached","Number","Housing Units",4877
"Bethel","0900104720","2008-2012","Detached","Number","Margins of Error",252
"Bethel","0900104720","2008-2012","Detached","Percent","Housing Units",68.8
"Bethel","0900104720","2008-2012","Detached","Percent","Margins of Error",2.7
"Bethel","0900104720","2009-2013","Total","Number","Housing Units",7139
"Bethel","0900104720","2009-2013","Total","Number","Margins of Error",245
"Bethel","0900104720","2009-2013","Detached","Number","Housing Units",4888
"Bethel","0900104720","2009-2013","Detached","Number","Margins of Error",251
"Bethel","0900104720","2009-2013","Detached","Percent","Housing Units",68.5
"Bethel","0900104720","2009-2013","Detached","Percent","Margins of Error",2.8
"Bethel","0900104720","2010-2014","Total","Number","Housing Units",7388
"Bethel","0900104720","2010-2014","Total","Number","Margins of Error",248
"Bethel","0900104720","2010-2014","Detached","Number","Housing Units",5076
"Bethel","0900104720","2010-2014","Detached","Number","Margins of Error",287
"Bethel","0900104720","2010-2014","Detached","Percent","Housing Units",68.7
"Bethel","0900104720","2010-2014","Detached","Percent","Margins of Error",3
"Bethel","0900104720","2011-2015","Total","Number","Housing Units",7540
"Bethel","0900104720","2011-2015","Total","Number","Margins of Error",243
"Bethel","0900104720","2011-2015","Detached","Number","Housing Units",5236
"Bethel","0900104720","2011-2015","Detached","Number","Margins of Error",271
"Bethel","0900104720","2011-2015","Detached","Percent","Housing Units",69.4
"Bethel","0900104720","2011-2015","Detached","Percent","Margins of Error",3
"Bethel","0900104720","2012-2016","Total","Number","Housing Units",7563
"Bethel","0900104720","2012-2016","Total","Number","Margins of Error",226
"Bethel","0900104720","2012-2016","Detached","Number","Housing Units",5243
"Bethel","0900104720","2012-2016","Detached","Number","Margins of Error",245
"Bethel","0900104720","2012-2016","Detached","Percent","Housing Units",69.3
"Bethel","0900104720","2012-2016","Detached","Percent","Margins of Error",2.9
"Bethlehem","0900504930","2006-2010","Total","Number","Housing Units",1610
"Bethlehem","0900504930","2006-2010","Total","Number","Margins of Error",94
"Bethlehem","0900504930","2006-2010","Detached","Number","Housing Units",1480
"Bethlehem","0900504930","2006-2010","Detached","Number","Margins of Error",112
"Bethlehem","0900504930","2006-2010","Detached","Percent","Housing Units",91.9
"Bethlehem","0900504930","2006-2010","Detached","Percent","Margins of Error",3.9
"Bethlehem","0900504930","2007-2011","Total","Number","Housing Units",1560
"Bethlehem","0900504930","2007-2011","Total","Number","Margins of Error",107
"Bethlehem","0900504930","2007-2011","Detached","Number","Housing Units",1443
"Bethlehem","0900504930","2007-2011","Detached","Number","Margins of Error",128
"Bethlehem","0900504930","2007-2011","Detached","Percent","Housing Units",92.5
"Bethlehem","0900504930","2007-2011","Detached","Percent","Margins of Error",3.9
"Bethlehem","0900504930","2008-2012","Total","Number","Housing Units",1531
"Bethlehem","0900504930","2008-2012","Total","Number","Margins of Error",103
"Bethlehem","0900504930","2008-2012","Detached","Number","Housing Units",1405
"Bethlehem","0900504930","2008-2012","Detached","Number","Margins of Error",107
"Bethlehem","0900504930","2008-2012","Detached","Percent","Housing Units",91.8
"Bethlehem","0900504930","2008-2012","Detached","Percent","Margins of Error",4
"Bethlehem","0900504930","2009-2013","Total","Number","Housing Units",1521
"Bethlehem","0900504930","2009-2013","Total","Number","Margins of Error",105
"Bethlehem","0900504930","2009-2013","Detached","Number","Housing Units",1387
"Bethlehem","0900504930","2009-2013","Detached","Number","Margins of Error",118
"Bethlehem","0900504930","2009-2013","Detached","Percent","Housing Units",91.2
"Bethlehem","0900504930","2009-2013","Detached","Percent","Margins of Error",4
"Bethlehem","0900504930","2010-2014","Total","Number","Housing Units",1502
"Bethlehem","0900504930","2010-2014","Total","Number","Margins of Error",99
"Bethlehem","0900504930","2010-2014","Detached","Number","Housing Units",1382
"Bethlehem","0900504930","2010-2014","Detached","Number","Margins of Error",106
"Bethlehem","0900504930","2010-2014","Detached","Percent","Housing Units",92
"Bethlehem","0900504930","2010-2014","Detached","Percent","Margins of Error",3.7
