"Town/County","FIPS","Year","Unit Type","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Total","Number","Housing Units",1286
"Andover","0901301080","2006-2010","Total","Number","Margins of Error",77
"Andover","0901301080","2006-2010","Detached","Number","Housing Units",1227
"Andover","0901301080","2006-2010","Detached","Number","Margins of Error",83
"Andover","0901301080","2006-2010","Detached","Percent","Housing Units",95.4
"Andover","0901301080","2006-2010","Detached","Percent","Margins of Error",3.2
"Andover","0901301080","2007-2011","Total","Number","Housing Units",1233
"Andover","0901301080","2007-2011","Total","Number","Margins of Error",87
"Andover","0901301080","2007-2011","Detached","Number","Housing Units",1147
"Andover","0901301080","2007-2011","Detached","Number","Margins of Error",81
"Andover","0901301080","2007-2011","Detached","Percent","Housing Units",93
"Andover","0901301080","2007-2011","Detached","Percent","Margins of Error",3.9
"Andover","0901301080","2008-2012","Total","Number","Housing Units",1153
"Andover","0901301080","2008-2012","Total","Number","Margins of Error",82
"Andover","0901301080","2008-2012","Detached","Number","Housing Units",1078
"Andover","0901301080","2008-2012","Detached","Number","Margins of Error",86
"Andover","0901301080","2008-2012","Detached","Percent","Housing Units",93.5
"Andover","0901301080","2008-2012","Detached","Percent","Margins of Error",3.1
"Andover","0901301080","2009-2013","Total","Number","Housing Units",1144
"Andover","0901301080","2009-2013","Total","Number","Margins of Error",79
"Andover","0901301080","2009-2013","Detached","Number","Housing Units",1071
"Andover","0901301080","2009-2013","Detached","Number","Margins of Error",86
"Andover","0901301080","2009-2013","Detached","Percent","Housing Units",93.6
"Andover","0901301080","2009-2013","Detached","Percent","Margins of Error",3.1
"Andover","0901301080","2010-2014","Total","Number","Housing Units",1195
"Andover","0901301080","2010-2014","Total","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Detached","Number","Housing Units",1095
"Andover","0901301080","2010-2014","Detached","Number","Margins of Error",83
"Andover","0901301080","2010-2014","Detached","Percent","Housing Units",91.6
"Andover","0901301080","2010-2014","Detached","Percent","Margins of Error",3.4
"Andover","0901301080","2011-2015","Total","Number","Housing Units",1234
"Andover","0901301080","2011-2015","Total","Number","Margins of Error",92
"Andover","0901301080","2011-2015","Detached","Number","Housing Units",1138
"Andover","0901301080","2011-2015","Detached","Number","Margins of Error",92
"Andover","0901301080","2011-2015","Detached","Percent","Housing Units",92.2
"Andover","0901301080","2011-2015","Detached","Percent","Margins of Error",3.4
"Andover","0901301080","2012-2016","Total","Number","Housing Units",1279
"Andover","0901301080","2012-2016","Total","Number","Margins of Error",87
"Andover","0901301080","2012-2016","Detached","Number","Housing Units",1198
"Andover","0901301080","2012-2016","Detached","Number","Margins of Error",85
"Andover","0901301080","2012-2016","Detached","Percent","Housing Units",93.7
"Andover","0901301080","2012-2016","Detached","Percent","Margins of Error",2.7
"Ansonia","0900901220","2006-2010","Total","Number","Housing Units",8171
"Ansonia","0900901220","2006-2010","Total","Number","Margins of Error",367
"Ansonia","0900901220","2006-2010","Detached","Number","Housing Units",3647
"Ansonia","0900901220","2006-2010","Detached","Number","Margins of Error",300
"Ansonia","0900901220","2006-2010","Detached","Percent","Housing Units",44.6
"Ansonia","0900901220","2006-2010","Detached","Percent","Margins of Error",3.2
"Ansonia","0900901220","2007-2011","Total","Number","Housing Units",8095
"Ansonia","0900901220","2007-2011","Total","Number","Margins of Error",354
"Ansonia","0900901220","2007-2011","Detached","Number","Housing Units",3852
"Ansonia","0900901220","2007-2011","Detached","Number","Margins of Error",312
"Ansonia","0900901220","2007-2011","Detached","Percent","Housing Units",47.6
"Ansonia","0900901220","2007-2011","Detached","Percent","Margins of Error",3.4
"Ansonia","0900901220","2008-2012","Total","Number","Housing Units",7830
"Ansonia","0900901220","2008-2012","Total","Number","Margins of Error",350
"Ansonia","0900901220","2008-2012","Detached","Number","Housing Units",3632
"Ansonia","0900901220","2008-2012","Detached","Number","Margins of Error",288
"Ansonia","0900901220","2008-2012","Detached","Percent","Housing Units",46.4
"Ansonia","0900901220","2008-2012","Detached","Percent","Margins of Error",3.2
"Ansonia","0900901220","2009-2013","Total","Number","Housing Units",7794
"Ansonia","0900901220","2009-2013","Total","Number","Margins of Error",441
"Ansonia","0900901220","2009-2013","Detached","Number","Housing Units",3636
"Ansonia","0900901220","2009-2013","Detached","Number","Margins of Error",312
"Ansonia","0900901220","2009-2013","Detached","Percent","Housing Units",46.7
"Ansonia","0900901220","2009-2013","Detached","Percent","Margins of Error",3.4
"Ansonia","0900901220","2010-2014","Total","Number","Housing Units",7711
"Ansonia","0900901220","2010-2014","Total","Number","Margins of Error",419
"Ansonia","0900901220","2010-2014","Detached","Number","Housing Units",3428
"Ansonia","0900901220","2010-2014","Detached","Number","Margins of Error",275
"Ansonia","0900901220","2010-2014","Detached","Percent","Housing Units",44.5
"Ansonia","0900901220","2010-2014","Detached","Percent","Margins of Error",3.1
"Ansonia","0900901220","2011-2015","Total","Number","Housing Units",7408
"Ansonia","0900901220","2011-2015","Total","Number","Margins of Error",395
"Ansonia","0900901220","2011-2015","Detached","Number","Housing Units",3422
"Ansonia","0900901220","2011-2015","Detached","Number","Margins of Error",262
"Ansonia","0900901220","2011-2015","Detached","Percent","Housing Units",46.2
"Ansonia","0900901220","2011-2015","Detached","Percent","Margins of Error",3.3
